iter	MultiClass
0	2.700816201
1	2.5485332
2	2.430820887
3	2.339824537
4	2.259887386
5	2.198960218
6	2.140469303
7	2.095487319
8	2.049764804
9	2.011265406
10	1.977015484
11	1.948413642
12	1.925023573
13	1.898751022
14	1.873707992
15	1.855182712
16	1.837233536
17	1.822495452
18	1.806407651
19	1.78875927
20	1.776931114
21	1.76578088
22	1.753303596
23	1.740766276
24	1.730465863
25	1.719618016
26	1.71175447
27	1.702246416
28	1.693713402
29	1.684728523
30	1.677826049
31	1.668461837
32	1.65922603
33	1.650861241
34	1.645704357
35	1.63674729
36	1.630585103
37	1.623024067
38	1.615485575
39	1.60921863
40	1.603136572
41	1.597771399
42	1.591708088
43	1.585273898
44	1.579189758
45	1.574454232
46	1.569704616
47	1.564961983
48	1.559657337
49	1.55541803
50	1.549860617
51	1.545598521
52	1.542283163
53	1.536923013
54	1.532590221
55	1.529758585
56	1.525033963
57	1.520388492
58	1.51630479
59	1.512924004
60	1.510211951
61	1.505769378
62	1.501956085
63	1.4981325
64	1.494839441
65	1.491768394
66	1.488274764
67	1.485248561
68	1.481886643
69	1.47913526
70	1.476648037
71	1.473564737
72	1.470078459
73	1.46763755
74	1.464793048
75	1.46145049
76	1.458420611
77	1.456059096
78	1.452809901
79	1.449768749
80	1.447437621
81	1.444258509
82	1.441323708
83	1.438989271
84	1.435947507
85	1.433532573
86	1.431224601
87	1.428984507
88	1.427007594
89	1.424286963
90	1.422359182
91	1.420473303
92	1.418397268
93	1.415650908
94	1.412591255
95	1.410176933
96	1.407799124
97	1.406198847
98	1.404185298
99	1.401895583
100	1.400337331
101	1.398060971
102	1.395888265
103	1.393638982
104	1.391356127
105	1.388469968
106	1.386622316
107	1.383913816
108	1.382206576
109	1.380448244
110	1.378855074
111	1.377053368
112	1.374605965
113	1.373097826
114	1.370354406
115	1.368153642
116	1.365737483
117	1.364700935
118	1.362206361
119	1.360214254
120	1.357341327
121	1.355343707
122	1.353997666
123	1.352683236
124	1.351201072
125	1.348662756
126	1.347401501
127	1.345450685
128	1.343743813
129	1.34225932
130	1.340467784
131	1.338267633
132	1.336836438
133	1.335185682
134	1.332810567
135	1.331359891
136	1.329438971
137	1.328265197
138	1.326539456
139	1.324673059
140	1.322990446
141	1.321381715
142	1.319507231
143	1.317702585
144	1.316413395
145	1.314490024
146	1.313151456
147	1.311940926
148	1.309649863
149	1.308381011
150	1.307215324
151	1.305541778
152	1.30380403
153	1.301881885
154	1.300967738
155	1.299511916
156	1.2974436
157	1.29618455
158	1.295222742
159	1.293905739
160	1.29301426
161	1.291567137
162	1.290103718
163	1.288642015
164	1.28781339
165	1.286768266
166	1.285635416
167	1.284249677
168	1.282905474
169	1.281394149
170	1.280042962
171	1.278339275
172	1.277085126
173	1.276369713
174	1.27508334
175	1.273914958
176	1.27225832
177	1.270501704
178	1.268967344
179	1.267727286
180	1.266616489
181	1.265416618
182	1.264608455
183	1.26303109
184	1.262311878
185	1.260846744
186	1.259574217
187	1.257772144
188	1.256049099
189	1.25509795
190	1.253511886
191	1.25210152
192	1.251064605
193	1.250335959
194	1.249196737
195	1.24743571
196	1.246161957
197	1.244650387
198	1.243547922
199	1.242724566
200	1.24139237
201	1.240087374
202	1.238741823
203	1.237826206
204	1.236355069
205	1.235387502
206	1.234247913
207	1.23273524
208	1.230995164
209	1.23013211
210	1.229249084
211	1.228304062
212	1.227280134
213	1.22592907
214	1.224738633
215	1.223448095
216	1.222500745
217	1.22130651
218	1.219722284
219	1.218871114
220	1.217833219
221	1.216987073
222	1.216300085
223	1.214744407
224	1.213718151
225	1.21235949
226	1.211475607
227	1.210310288
228	1.209241885
229	1.207550205
230	1.206653334
231	1.205874454
232	1.204776032
233	1.203928784
234	1.203008633
235	1.202181234
236	1.201346727
237	1.200482938
238	1.199403385
239	1.198418052
240	1.197057064
241	1.195732709
242	1.194898815
243	1.193903558
244	1.193200887
245	1.192236261
246	1.191354828
247	1.190450239
248	1.188887944
249	1.187902244
250	1.186532801
251	1.185621228
252	1.184830094
253	1.183791464
254	1.182883812
255	1.182295087
256	1.180636612
257	1.179818033
258	1.178862596
259	1.17759252
260	1.17674037
261	1.17588332
262	1.174826801
263	1.173906896
264	1.173110862
265	1.171836987
266	1.171211873
267	1.170148126
268	1.169195507
269	1.167404584
270	1.166791967
271	1.165942145
272	1.16457454
273	1.163593374
274	1.162870976
275	1.162137919
276	1.161433533
277	1.160531148
278	1.159808383
279	1.159115514
280	1.158337613
281	1.157456793
282	1.156617019
283	1.155836423
284	1.15487535
285	1.154290791
